11.202243ms,43.988229ms
18.726735ms,142.585967ms
19.790963ms,127.707272ms
14.953789ms,154.461466ms
9.074387ms,148.472267ms
32.881278ms,218.635227ms
25.047608ms,196.142047ms
46.075087ms,182.724254ms
45.432731ms,136.069307ms
39.434036ms,149.001837ms
