12.879062ms,92.254508ms
17.115018ms,155.650272ms
17.925173ms,171.178189ms
44.674737ms,272.970252ms
18.349649ms,156.373039ms
49.425068ms,196.726427ms
71.863482ms,141.412796ms
18.436743ms,118.422114ms
9.646247ms,137.829301ms
25.955813ms,141.728378ms
