8.295365ms,72.619299ms
10.026775ms,129.12164ms
13.478095ms,187.354491ms
21.904153ms,82.921759ms
18.193048ms,165.867023ms
18.210647ms,228.451246ms
52.358661ms,175.934897ms
52.94643ms,134.941042ms
16.132056ms,97.10962ms
20.25124ms,92.275873ms
